scrape_timestamp,ASIN,Title,Product_URL,Image,Price,Rating,Reviews_Count,Seller_Snippet,Result_Type
2025-11-15T11:27:28.041635,B0C6KF5KX7,,,https://m.media-amazon.com/images/I/71VXsHjY2mL._AC_UY218_.jpg,2401,4.4,,"FREE delivery Mon, 17 Nov Or fastest delivery Today",Organic
2025-11-15T11:27:28.047359,B0BG8LZNYL,,,https://m.media-amazon.com/images/I/51hZtBRUFBL._AC_UY218_.jpg,552,4.3,,"FREE delivery Mon, 17 Nov Or fastest delivery Today",Organic
2025-11-15T11:27:28.053166,B0BSR2N5W9,,,https://m.media-amazon.com/images/I/512kJc9mROL._AC_UY218_.jpg,89,4.4,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Today",Organic
2025-11-15T11:27:28.059977,B0D7Z944C7,,,https://m.media-amazon.com/images/I/61ZejdSL77L._AC_UY218_.jpg,197,4.3,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Today",Organic
2025-11-15T11:27:28.067181,B0BSLRB8NJ,,,https://m.media-amazon.com/images/I/71CFc-fYMBL._AC_UY218_.jpg,149,4.2,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Today",Organic
2025-11-15T11:27:28.073186,B0F79XJHF3,,,https://m.media-amazon.com/images/I/61DfXsuyIKL._AC_UY218_.jpg,199,4.1,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Today",Organic
2025-11-15T11:27:28.082207,B0DZDDV7GC,,,https://m.media-amazon.com/images/I/71CjP9jmqZL._AC_UY218_.jpg,92900,4.6,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:27:28.091556,B0FJFTD1X6,,,https://m.media-amazon.com/images/I/71e5e82cbJL._AC_UY218_.jpg,71490,3.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
2025-11-15T11:27:28.097496,B0D926JN5N,,,https://m.media-amazon.com/images/I/51gCpv7DO4L._AC_UY218_.jpg,113990,4.3,,Flat INR 5000 Off on ALL BanksCards Flat INR 5000 Off on ALL BanksCards,Organic
2025-11-15T11:27:28.103426,B0D3B5269P,,,https://m.media-amazon.com/images/I/615arbErX4L._AC_UY218_.jpg,799,4.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.110102,B0BMVM18R8,,,https://m.media-amazon.com/images/I/71zFrQvHTOL._AC_UY218_.jpg,366,3.8,,Buy 3 get 3% Buy 4 get 4% Buy 5 get 5% Off,Organic
2025-11-15T11:27:28.115861,B08QJJCY2Q,,,https://m.media-amazon.com/images/I/81ha67yYQuL._AC_UY218_.jpg,89,4.3,,"FREE delivery Mon, 17 Nov on ₹499 of items fulfilled by Amazon Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.122052,B0CYY2NND8,,,https://m.media-amazon.com/images/I/71ToIGzzgiL._AC_UY218_.jpg,1299,3.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.128361,B01NBX5RSB,,,https://m.media-amazon.com/images/I/511j2WbciNL._AC_UY218_.jpg,1162,4.3,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.135141,B0B1M6XJBJ,,,https://m.media-amazon.com/images/I/61mBXtH1v8L._AC_UY218_.jpg,37990,3.8,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Organic
2025-11-15T11:27:28.140379,B0D18192T2,,,https://m.media-amazon.com/images/I/41xAn0iwc6L._AC_UY218_.jpg,599,4.1,,"FREE delivery Mon, 17 Nov Or fastest delivery Today",Organic
2025-11-15T11:27:28.146996,B0FG2RJ9NC,,,https://m.media-amazon.com/images/I/7156bBh8W2L._AC_UY218_.jpg,40990,3.8,,"FREE delivery Mon, 17 Nov",Ad
2025-11-15T11:27:28.154649,B0F637DPFW,,,https://m.media-amazon.com/images/I/71Q6JmLZE7L._AC_UY218_.jpg,55990,4.0,,"FREE delivery Mon, 17 Nov Or fastest delivery Tomorrow, 16 Nov",Ad
